money,sentence,url,word
"$100,000","While Hezbollah promotes itself as a guardian of Lebanon against foreign invaders, it also provides social services to the Lebanese people in areas where the government lacks a strong presence, such as in the south. For example, in 2004, Hezbollah provided $100,000 a month to the al-Janoub Hospital in the southern Lebanese city of Nabatiyah.  After the 2006 Hezbollah-Israel war, Lebanese citizens quickly forgot that Hezbollah instigated the conflict as the organization provided money for housing and welfare. “We have ideology and support. Our success can be seen in the peaceful existence between the Lebanese army and the military wing of Hezbollah,” said Hezbollah member Mohammed Ghosen.",https://www.counterextremism.com/threat/hezbollah,Hospital
$1,"Beyond rhetoric, the Iranian government has continued to actualize Khomeini’s anti-Israel directives as financial and material support for violent anti-Israel extremist groups such as Hezbollah, Hamas, and PIJ. In 1998, a U.S. federal court held Iran responsible for sponsoring the 1995 PIJ bus bombing in the Gaza Strip that killed New Jersey resident Alisa Flatow. The same U.S. court later held Iran responsible for sponsoring Hamas’s 1996 Jerusalem bus bombings that killed Sara Duker of New Jersey and Matthew Eisenfeld of Connecticut. In 2006, Iran reportedly transferred thousands of short-range rockets, longer-range rockets, and unmanned aerial vehicles to Hezbollah. Israeli intelligence estimated that Iran had also directly provided Hezbollah with more than $1 billion between 2006 and 2009. (Sources: ",https://www.counterextremism.com/khomeinism,Home
$15,"“Hezbollah leader Hassan Nasrallah condemned normalization with Israel in a televised address Saturday, The Jerusalem Post’s sister publication Maariv reported.  The condemnation comes after Mohammad al-Emadi, chairman of the Qatari Committee for the Reconstruction of the Gaza Strip, visited Gaza, transferring $15 million to the Palestinian coastal enclave in coordination with Israel. “I salute the families of the martyrs,” Nasrallah said. “Thanks to martyrs’ sacrifices, the resistance has achieved all its victories. The blood of our martyrs has protected our land and Hezbollah's rocket power."" “The source of our strength are our missiles because the Lebanese army is not allowed to acquire advanced missiles,” Nasrallah said.  “Netanyahu believes that the key [to the conflict] is power and not the occupation,"" he continued. “His problem, though, is that we have the power. We will respond to any Israeli strike on Lebanon and will not accept any aggression by the enemy against our land.” “We condemn any form of normalization with the Zionist entity,” Nasrallah said. “I say to the Palestinian people, do not lose hope over the Arab states’ normalization with Israel; what before went on behind the scenes now is taking place publicly. The current normalization has put an end to Arab hypocrisy, and removed the mask from the swindlers and hypocrites. ""Those who march and fall in Gaza's Marches of Return give us hope because they resist the pressures exerted on them,"" he added. “If the Syrian people and the government had not resisted the pressure, we would see Netanyahu in Damascus."" ",https://www.counterextremism.com/roundup/eye-extremism-november-13-2018,Reconstruction
$100,"“The funding of the Lebanese Hezbollah organization, which relies heavily on Iran, is carried out via two major channels: official and semi-official. Officially, Iran pays more than $100 million to the Shiite militia annually. Semi-officially, Hezbollah receives millions of dollars' worth of donations contributed periodically by multiple Khamenei-controlled charity associations and funds, including the Islamic Resistance Support Organization (IRSO), the Imam Khomeini Relief Foundation and others. Additionally, the group obtains a part of its funds via its worldwide investments and through Shiite businessmen abroad who contribute one fifth of their earnings to their sponsor organization. Nonetheless, the last source of income, despite its importance, is considered marginal compared to Hezbollah's massive expenditures.”",https://www.counterextremism.com/roundup/eye-extremism-december-11-2018,Home
$200,"“International investigations are revealing that Nicolás Maduro’s alleged front man, the Colombian Alex Saab, has a strong connection with the Lebanese terrorist group Hezbollah. Authorities from the United States, Israel, and Colombia are tracking several financial transactions originating in Venezuela that ultimately ended up financing the terrorist group. According to the Colombian daily El Tiempo, there are several financial transactions linked to Álex Saab that originated with the Central Bank of Venezuela and ended up in Asia after passing through tax havens. While Colombia is investigating Saab for money laundering, both the United States and Israel are seeking to track him down. Saab was identified as one of the beneficiaries in the irregular import of food at a premium for the Venezuelan state program called the Local Supply and Production Committees (CLAP). This system, established by the regime, provides certain basic food items to households, at a subsidized cost, through preferential foreign exchange for the purchase and import of food items abroad. Reports published show that Saab was connected to the distribution of food through the contracts that the Grand Limited Group company signed with the administration of Nicolás Maduro. The investigations reveal that Alex Saab sold USD $200 million worth of food to Venezuela, following a negotiation and deal signed by Nicolás Maduro.”",https://www.counterextremism.com/roundup/eye-extremism-october-18-2018,House
$300," Hezbollah claimed it spent $300 million for its construction arm, Jihad al-Bina, to repair damaged or destroyed homes.",https://www.counterextremism.com/hezbollah-in-lebanon,Home
$1,"Hezbollah chief Hassan Nasrallah on Friday said Spielberg's name is on a ""black list"" of Israeli supporters and noted he was blacklisted by the League for donating $1 million to Israel for reconstruction during its 2006 war with Lebanon.",https://en.annahar.com/article/737017-hezbollah-chief-weighs-in-on-lebanons-spielberg-controversy,Reconstruction
$3,"Last December, Saudi Arabia agreed to finance a $3 billion deal to purchase military equipment and weapons from France for Lebanon's army, which has long complained of being sorely under-equipped. The deal was seen very much as a double-win for the Saudi kingdom which wanted the LAF to flaunt its military might for Hezbollah, but also to show Washington that it can sign multi billion dollar arms deals with EU countries, in a snub to Obama who has brought relations with the House of Saud to its lowest ebb over Iran.",https://en.annahar.com/article/158087-army-chief-warns-arsal-situation-dangerorous-urges-arms-list-to-be-drawn-up-over,House
$1,"One, consisting of 203 pages, was filed on January 2, by 22 Israeli-American citizens against Lebanese banks and Hizbullah, for ""traumatizing"" them with rockets launched from Lebanon in 2006. This lawsuit is a bit of a stretch, being that this occurred during an all-out war, in which Israel, despite having precision missiles and smart bombs, destroyed much of the civilian infrastructure of the country, including power plants, killing over 1,000 Lebanese civilians, versus 43 Israeli civilians by these rockets. I think it can fairly be assumed that if they win, say, $1 billion in damages, then a countersuit should win $23 billion (the ratio of civilians killed times damages), assuming the world is fair and human lives are weighted equally.",https://en.annahar.com/article/921938-driving-off-the-cliff,Infrastructure
"$700,000","BEIRUT: The American University of Beirut, a recipient of financial aid from the United States Agency for International Development, has agreed to pay $700,000 to settle a civil lawsuit in which federal prosecutors accused it of assisting three organizations affiliated with Hezbollah.",https://en.annahar.com/article/559655-aub-settles-us-lawsuit-over-assisting-hezbollahlinked-media-groups,Development
