sentence,url,word
 Hezbollah Secretary General Sayyed Hasan Nasrallah is scheduled to deliver a speech on the 30th anniversary of establishing the Islamic Resistance Support Association on Friday at 3 p.m. (Beirut Timing). Sayyed Nasrallah is expected to tackle the latest developments in Lebanon and the region.,https://english.almanar.com.lb/cat/news/lebanon/s-nasrallah-speeches,Development
" Hezbollah Secretary General Sayyed Hasan Nasrallah spoke Wednesday on the 40th anniversary of the Islamic Revolution in Iran, saluting the soul of the great Imam Ruhollah Khomeini and listing the major developments that took place in Iran on various levels after the revolution. “We speak about Iran because it is ...",https://english.almanar.com.lb/cat/news/lebanon/s-nasrallah-speeches,Home
" Hezbollah Secretary General Sayyed Hasan Nasrallah spoke Wednesday on the 40th anniversary of the Islamic Revolution in Iran, saluting the soul of the great Imam Ruhollah Khomeini and listing the major developments that took place in Iran on various levels after the revolution. “We speak about Iran because it is ...",https://english.almanar.com.lb/cat/news/lebanon/s-nasrallah-speeches,Development
 Hezbollah Secretary General Sayyed Hasan Nasrallah is scheduled to appear via Al-Manar TV Channel to speak on the latest developments tonight at 6 p.m. (Beirut Time). Sayyed Nasrallah is expected to tackle mainly Lebanon’s cabinet formation and a number of local and regional issues. Al-Manar English Website whose staff will ...,https://english.almanar.com.lb/cat/news/lebanon/s-nasrallah-speeches,Development
" Hezbollah’s missiles have built, since 1990, a new meaning in the concept of deterrence upon affecting both the decision makers in the Zionist entity and the Israeli public opinion. In parallel, Hezbollah Secretary General, Sayyed Hasan Nasrallah’s speeches have rolled, touching the consciousness of the Israeli “home front command”, in ...",https://english.almanar.com.lb/cat/news/middle-east/zionist-entity/focus-on-zionists,Home
"Hezbollah also viewed the operation as a quality development of the Palestinian resistance method and ability to penetrate the Zionist security measures, considering that it proved the resistance fighters’ ability to initiate wherever and whenever they decide.",https://english.almanar.com.lb/699195,Development
 Hezbollah Secretary General Sayyed Hasan Nasrallah is scheduled to deliver a speech on the 30th anniversary of establishing the Islamic Resistance Support Association on Friday at 3 p.m. (Beirut Timing). Sayyed Nasrallah is expected to tackle the latest developments in Lebanon and the region.,https://english.almanar.com.lb/tag/hezbollah,Development
" Hezbollah Deputy Secretary General Sheikh Naim Qassem stressed that there is a US-plotted scheme which aims to prevent the displaced Syrians from returning home in order to use them as a pressure card against the Syrian government. In this context, Sheikh Qassem wondered why some Lebanese political parties support this ...",https://english.almanar.com.lb/tag/lebanon-politics,Home
 Hezbollah Secretary General Sayyed Hasan Nasrallah is scheduled to deliver a speech on the 30th anniversary of establishing the Islamic Resistance Support Association on Friday at 3 p.m. (Beirut Timing). Sayyed Nasrallah is expected to tackle the latest developments in Lebanon and the region.,https://english.almanar.com.lb/tag/sayyed-nasrallah,Development
" Hezbollah Secretary General Sayyed Hasan Nasrallah received on Monday The Iranian top diplomat Mohammad Javad Zarif and the Iranian ambassador to Lebanon Mohammad Jalal Feroznia as talks reviewed the latest developments in Lebanon and the region. Sayyed Nasrallah hailed the support granted by the Iranian leadership, government and people to ...",https://english.almanar.com.lb/tag/sayyed-nasrallah,Development
" Hezbollah Secretary General Sayyed Hasan Nasrallah spoke Wednesday on the 40th anniversary of the Islamic Revolution in Iran, saluting the soul of the great Imam Ruhollah Khomeini and listing the major developments that took place in Iran on various levels after the revolution. “We speak about Iran because it is ...",https://english.almanar.com.lb/tag/sayyed-nasrallah,Home
" Hezbollah Secretary General Sayyed Hasan Nasrallah spoke Wednesday on the 40th anniversary of the Islamic Revolution in Iran, saluting the soul of the great Imam Ruhollah Khomeini and listing the major developments that took place in Iran on various levels after the revolution. “We speak about Iran because it is ...",https://english.almanar.com.lb/tag/sayyed-nasrallah,Development
 Hezbollah Secretary General Sayyed Hasan Nasrallah is scheduled to appear via Al-Manar TV Channel to speak on the latest developments tonight at 6 p.m. (Beirut Time). Sayyed Nasrallah is expected to tackle mainly Lebanon’s cabinet formation and a number of local and regional issues. Al-Manar English Website whose staff will ...,https://english.almanar.com.lb/tag/sayyed-nasrallah,Development
" Britain’s opposition Labor Party said on Tuesday that interior minister Sajid Javid had to provide evidence to justify his decision to widen a ban on Hezbollah. “The Home Secretary must therefore now demonstrate that this decision was taken in an objective and impartial way, and driven by clear and new ...",https://english.almanar.com.lb/tag/uk,Home
" Hezbollah’s missiles have built, since 1990, a new meaning in the concept of deterrence upon affecting both the decision makers in the Zionist entity and the Israeli public opinion. In parallel, Hezbollah Secretary General, Sayyed Hasan Nasrallah’s speeches have rolled, touching the consciousness of the Israeli “home front command”, in ...",https://english.almanar.com.lb/cat/exclusive,Home
" Hezbollah rockets will reach many areas in the Israeli depth in any new war, Israeli commander said, noting that evacuation operations are useless. In an interview with Israeli daily Maariv, Col. Eren Makov, the Northern Regional Commander of the Homefront Command said that a new war between ‘Israel’ and Hezbollah ...",https://english.almanar.com.lb/cat/featured/page/7,Home
 Hezbollah Secretary General Sayyed Hasan Nasrallah is scheduled to deliver a speech on the 30th anniversary of establishing the Islamic Resistance Support Association on Friday at 3 p.m. (Beirut Timing). Sayyed Nasrallah is expected to tackle the latest developments in Lebanon and the region.,http://english.almanar.com.lb/cat/news/lebanon/s-nasrallah-speeches,Development
" Hezbollah Secretary General Sayyed Hasan Nasrallah spoke Wednesday on the 40th anniversary of the Islamic Revolution in Iran, saluting the soul of the great Imam Ruhollah Khomeini and listing the major developments that took place in Iran on various levels after the revolution. “We speak about Iran because it is ...",http://english.almanar.com.lb/cat/news/lebanon/s-nasrallah-speeches,Home
" Hezbollah Secretary General Sayyed Hasan Nasrallah spoke Wednesday on the 40th anniversary of the Islamic Revolution in Iran, saluting the soul of the great Imam Ruhollah Khomeini and listing the major developments that took place in Iran on various levels after the revolution. “We speak about Iran because it is ...",http://english.almanar.com.lb/cat/news/lebanon/s-nasrallah-speeches,Development
 Hezbollah Secretary General Sayyed Hasan Nasrallah is scheduled to appear via Al-Manar TV Channel to speak on the latest developments tonight at 6 p.m. (Beirut Time). Sayyed Nasrallah is expected to tackle mainly Lebanon’s cabinet formation and a number of local and regional issues. Al-Manar English Website whose staff will ...,http://english.almanar.com.lb/cat/news/lebanon/s-nasrallah-speeches,Development
" Hezbollah’s missiles have built, since 1990, a new meaning in the concept of deterrence upon affecting both the decision makers in the Zionist entity and the Israeli public opinion. In parallel, Hezbollah Secretary General, Sayyed Hasan Nasrallah’s speeches have rolled, touching the consciousness of the Israeli “home front command”, in ...",http://english.almanar.com.lb/cat/news/middle-east/zionist-entity/focus-on-zionists,Home
"Hezbollah also viewed the operation as a quality development of the Palestinian resistance method and ability to penetrate the Zionist security measures, considering that it proved the resistance fighters’ ability to initiate wherever and whenever they decide.",http://english.almanar.com.lb/699195,Development
 Hezbollah Secretary General Sayyed Hasan Nasrallah is scheduled to deliver a speech on the 30th anniversary of establishing the Islamic Resistance Support Association on Friday at 3 p.m. (Beirut Timing). Sayyed Nasrallah is expected to tackle the latest developments in Lebanon and the region.,http://english.almanar.com.lb/tag/hezbollah,Development
" Hezbollah Deputy Secretary General Sheikh Naim Qassem stressed that there is a US-plotted scheme which aims to prevent the displaced Syrians from returning home in order to use them as a pressure card against the Syrian government. In this context, Sheikh Qassem wondered why some Lebanese political parties support this ...",http://english.almanar.com.lb/tag/lebanon-politics,Home
 Hezbollah Secretary General Sayyed Hasan Nasrallah is scheduled to deliver a speech on the 30th anniversary of establishing the Islamic Resistance Support Association on Friday at 3 p.m. (Beirut Timing). Sayyed Nasrallah is expected to tackle the latest developments in Lebanon and the region.,http://english.almanar.com.lb/tag/sayyed-nasrallah,Development
" Hezbollah Secretary General Sayyed Hasan Nasrallah received on Monday The Iranian top diplomat Mohammad Javad Zarif and the Iranian ambassador to Lebanon Mohammad Jalal Feroznia as talks reviewed the latest developments in Lebanon and the region. Sayyed Nasrallah hailed the support granted by the Iranian leadership, government and people to ...",http://english.almanar.com.lb/tag/sayyed-nasrallah,Development
" Hezbollah Secretary General Sayyed Hasan Nasrallah spoke Wednesday on the 40th anniversary of the Islamic Revolution in Iran, saluting the soul of the great Imam Ruhollah Khomeini and listing the major developments that took place in Iran on various levels after the revolution. “We speak about Iran because it is ...",http://english.almanar.com.lb/tag/sayyed-nasrallah,Home
" Hezbollah Secretary General Sayyed Hasan Nasrallah spoke Wednesday on the 40th anniversary of the Islamic Revolution in Iran, saluting the soul of the great Imam Ruhollah Khomeini and listing the major developments that took place in Iran on various levels after the revolution. “We speak about Iran because it is ...",http://english.almanar.com.lb/tag/sayyed-nasrallah,Development
