sentence,url,word
"
	Most of the austerity measures have been enacted in the past few months, with Hezbollah attributing them to U.S. sanctions on Iran, the group’s principal patron. As Secretary-General Hassan Nasrallah stated on August 14, Hezbollah will face a financial problem “as long as U.S. President Donald Trump is in power.” Yet while Nasrallah assured listeners that the group will persevere due to its strong infrastructure, officials have proven incapable of holding up to such promises so far.",https://www.washingtoninstitute.org/policy-analysis/view/u.s.-sanctions-are-hurting-hezbollah,Infrastructure
"
	As the fighting subsided in much of Syria over the past three months, Hezbollah has brought many of its personnel home, apart from the combat troops and logistics forces stationed in the Damascus area, Deir al-Zour, and south Syria. In particular, it has redeployed many of its newer fighters, whom it recruited during the war on a contractual basis and is no longer obligated to pay now that they are back home.",https://www.washingtoninstitute.org/policy-analysis/view/u.s.-sanctions-are-hurting-hezbollah,Home
"
	As the fighting subsided in much of Syria over the past three months, Hezbollah has brought many of its personnel home, apart from the combat troops and logistics forces stationed in the Damascus area, Deir al-Zour, and south Syria. In particular, it has redeployed many of its newer fighters, whom it recruited during the war on a contractual basis and is no longer obligated to pay now that they are back home.",https://www.washingtoninstitute.org/policy-analysis/view/u.s.-sanctions-are-hurting-hezbollah,Station
"
	In other sectors, Hezbollah sources quoted by local media reported that employees in its religious institutions have not been paid in three months. The group has also closed around a thousand offices and apartments throughout Lebanon, merged many of its institutions, and frozen all hiring. Its social services budget has decreased as well, following a previous reduction in 2013.",https://www.washingtoninstitute.org/policy-analysis/view/u.s.-sanctions-are-hurting-hezbollah,Social Service
"
	Two factors are driving these tensions: efforts by Hezbollah and Syria—with Iran’s help—to produce highly accurate missiles in Lebanon and Syria that could cripple Israel’s critical infrastructure and make life there intolerable; and Iran’s efforts to transform Syria into a springboard for military operations against Israel and a platform for projecting power in the Levant. Iran, however, while pursuing an anti-status quo agenda that has often brought it into conflict with Israel and the United States, has shown that it seeks to avoid conventional wars and consequent heavy losses to its own forces. Instead, it relies on proxy operations, terrorism, and non-lethal shaping activities. Yet it has occasionally been willing to venture high-risk activities that entail a potential for escalation. (Example: Iranian forces in Syria launched an explosives-laden UAV into Israeli airspace in February; it was shot down, but the incident sparked a round of clashes.)",https://www.washingtoninstitute.org/policy-analysis/view/the-great-middle-eastern-war-of-2019,Infrastructure
"
	Although Iran has not stopped sending money to Hezbollah so far, the group realizes that continued sanctions and/or altered regional circumstances may require it to seek alternative sources of funding down the road. For instance, if a new war breaks out with Israel, Tehran might not be able to send trucks full of cash to Lebanon as it did around the time of the 2006 conflict. Likewise, other states may not be as willing to fund another postwar reconstruction now that Hezbollah controls the government.",https://www.washingtoninstitute.org/policy-analysis/view/u.s.-sanctions-are-hurting-hezbollah,Reconstruction
"
	Although Iran has not stopped sending money to Hezbollah so far, the group realizes that continued sanctions and/or altered regional circumstances may require it to seek alternative sources of funding down the road. For instance, if a new war breaks out with Israel, Tehran might not be able to send trucks full of cash to Lebanon as it did around the time of the 2006 conflict. Likewise, other states may not be as willing to fund another postwar reconstruction now that Hezbollah controls the government.",https://www.washingtoninstitute.org/policy-analysis/view/u.s.-sanctions-are-hurting-hezbollah,Construction
"
	Because of Hezbollah’s many illegal activities at home and abroad, Lebanon’s Shia community as a whole is now considered “high risk.” For many investors considering deals there, the easiest decision is to avoid any partnership with Shia-owned companies, which unfairly alienates legitimate businesspeople.",https://www.washingtoninstitute.org/policy-analysis/view/u.s.-sanctions-are-hurting-hezbollah,Home
"
	The potential for yet another war—one of unprecedented scope and complexity—is an outcome of the Syrian civil war, which has enabled Iran to build a military infrastructure in Syria and to deploy its Shi’a “foreign legion” to Israel’s borders. War is now possible on multiple fronts and in far-flung theaters, fought on land, in the air, at sea, and in information and cyber domains by fighters from Hezbollah, Iran, Syria, Iraq, Afghanistan, Pakistan, and even Yemen. The widened scope of a possible war will create new military options for Iran and Hezbollah, and stretch Israeli capabilities to their limits.",https://www.washingtoninstitute.org/policy-analysis/view/the-great-middle-eastern-war-of-2019,Infrastructure
"
	In past conflicts with Hezbollah, Israel focused on the organization’s military forces, its leadership, military specialists, and elements of the Lebanese infrastructure that facilitated its operations. In the next northern war, the dilemma of whether to prioritize action against immediate threats or enemy centers of gravity and critical enablers will be acute; substantial effort needs to be invested in identifying centers of gravity that can be targeted to hasten war termination on favorable terms.",https://www.washingtoninstitute.org/policy-analysis/view/the-great-middle-eastern-war-of-2019,Infrastructure
" Israel’s war aims would likely be shaped by how a war begins and its geopolitical context. Would Israel aim to degrade enemy forces and to demoralize them? Disrupt the cohesion of the axis of resistance? Discredit the enemy’s “resistance doctrine”? Destabilize Syria and/or Iran? Or simply reestablish deterrence and bring about a prolonged period of quiet? How many of these goals are attainable? Should Israel focus on Hezbollah and Nasrallah? On Lebanese infrastructure that facilitates Hezbollah’s activities? On Iran and IRGC head Soleimani? On the Shi’a militias? Or on the Assad regime? How much emphasis should be placed on targeting the enemy’s field forces, military infrastructure, leadership, and motivation/morale, and how should Israel prioritize and phase these efforts? Finally, how will Israel resolve the tension between the imperative to end its wars quickly in a way that restores deterrence—which will require it to inflict heavy damage on enemy forces that in many cases will be embedded among civilians—and its desire to avoid unnecessary escalation, as well as fulfill its obligations under the law of armed conflict?",https://www.washingtoninstitute.org/policy-analysis/view/the-great-middle-eastern-war-of-2019,Infrastructure
" Israel has always tried to avoid multi-front wars that require it to split its forces. A key unknown is whether Hezbollah or Iran would try to limit or expand a conflict with Israel. Would Hezbollah eschew a fight in Lebanon to preserve its military assets there, avoid widespread destruction to the country’s infrastructure, and avert a political backlash? Would Syrian forces actively participate in such a war? Would Iran encourage the Houthis to attack Israeli shipping in the Red Sea, or would the Houthis do so without being asked? Would Hezbollah and Iran launch terrorist attacks against Israeli interests from the outset of a war, or might they try to de-escalate a potentially devastating conventional conflict in the Levant in order to launch a less risky, low-intensity terrorist “war in the shadows” against Israeli interests worldwide? And might Israel threaten to bring the war to Lebanon or Iran in order to prevent further escalation and bolster deterrence?",https://www.washingtoninstitute.org/policy-analysis/view/the-great-middle-eastern-war-of-2019,Infrastructure
