sentence,url,word
"A Syrian war-monitoring group said Friday suspected Israeli strikes hit a military base overnight in central Syria, which houses Hezbollah alongside other...",https://www.dailystar.com.lb/Entity/Political%20group/43498/3/Hezbollah.ashx?utm_source=Magnet&utm_medium=Entities%20widget&utm_campaign=Magnet%20tools,House
An anti-Hezbollah parliamentary candidate in south Lebanon’s Bint Jbeil was in hospital Sunday with non-life threatening wounds after dozens of suspected...,http://www.dailystar.com.lb/Entity/People/126232/Bahia-Hariri.ashx?utm_source=Magnet&utm_medium=Entities%20widget&utm_campaign=Magnet%20tools,Hospital
"As the sensitive issue of repatriating Syrian refugees to their homeland roiled the country for a second week, Hezbollah signaled Friday it was gearing up for...",https://www.dailystar.com.lb/Entity/Political%20group/126074/23/Lebanese%20Forces.ashx?utm_source=Magnet&utm_medium=Entities%20widget&utm_campaign=Magnet%20tools,Home
"Hezbollah’s progress in Arsal’s outskirts is a positive development for Lebanon’s domestic scene, Lebanese Forces chief Samir Geagea said in an interview...",https://www.dailystar.com.lb/Entity/Political%20group/126074/22/Lebanese%20Forces.ashx?utm_source=Magnet&utm_medium=Entities%20widget&utm_campaign=Magnet%20tools,Development
An anti-Hezbollah parliamentary candidate in south Lebanon’s Bint Jbeil was in hospital Sunday with non-life threatening wounds after dozens of suspected...,https://www.dailystar.com.lb/Entity/Political%20group/43498/14/Hezbollah.ashx?utm_source=Magnet&utm_medium=Entities%20widget&utm_campaign=Magnet%20tools,Hospital
"Prime Minister Saad Hariri Friday said that any Beirut resident who stays at home on election day on May 6 will be ""serving the interest of Hezbollah.""",https://www.dailystar.com.lb/Entity/Political%20group/43498/21/Hezbollah.ashx?utm_source=Magnet&utm_medium=Entities%20widget&utm_campaign=Magnet%20tools,Home
"Prime Minister Saad Hariri Sunday sang the praise of the Bekaa and promised the region big infrastructure projects, while blasting Hezbollah for mobilizing...",https://www.dailystar.com.lb/Entity/Political%20group/43498/14/Hezbollah.ashx?utm_source=Magnet&utm_medium=Entities%20widget&utm_campaign=Magnet%20tools,Infrastructure
Hezbollah was again the focus of a new bipartisan bill by two United States congressmen presented to the House of Representatives calling for an investigation...,https://www.dailystar.com.lb/Entity/Political%20group/43498/14/Hezbollah.ashx?utm_source=Magnet&utm_medium=Entities%20widget&utm_campaign=Magnet%20tools,House
Two United States congressmen introduced a bill this week to the House of Representatives calling for an investigation into Hezbollah.,https://www.dailystar.com.lb/Entity/Political%20group/43498/14/Hezbollah.ashx?utm_source=Magnet&utm_medium=Entities%20widget&utm_campaign=Magnet%20tools,House
"The secretary-general of Palestinian Islamic Jihad was Tuesday rushed to a hospital in a Hezbollah stronghold in southern Beirut, a security source said.",https://www.dailystar.com.lb/Entity/Political%20group/43498/17/Hezbollah.ashx?utm_source=Magnet&utm_medium=Entities%20widget&utm_campaign=Magnet%20tools,Hospital
An anti-Hezbollah parliamentary candidate in south Lebanon’s Bint Jbeil was in hospital Sunday with non-life threatening wounds after dozens of suspected...,http://www.dailystar.com.lb/Entity/Locations-and-natural-formations/126354/Hasbaya.ashx?utm_source=Magnet&utm_medium=Entities%20widget&utm_campaign=Magnet%20tools,Hospital
An anti-Hezbollah parliamentary candidate in south Lebanon’s Bint Jbeil was in hospital Sunday with non-life threatening wounds after dozens of suspected...,http://www.dailystar.com.lb/Entity/People/126232/1/Bahia%20Hariri.ashx?utm_source=Magnet&utm_medium=Entities%20widget&utm_campaign=Magnet%20tools,Hospital
An anti-Hezbollah parliamentary candidate in south Lebanon’s Bint Jbeil was in hospital Sunday with non-life threatening wounds after dozens of suspected...,http://www.dailystar.com.lb/Entity/Locations-and-natural-formations/126354/Hasbaya.ashx?utm_source=Magnet&utm_medium=Entities%20widget&utm_campaign=Magnet%20tools,Hospital
"The United Kingdom has decided to “proscribe” Hezbollah as a terrorist group in its entirety, Home Secretary Sajid Javid said Monday.",http://www.dailystar.com.lb/ArticleRelated.aspx?id=477569,Home
"Prime Minister Saad Hariri Sunday sang the praise of the Bekaa and promised the region big infrastructure projects, while blasting Hezbollah for mobilizing...",http://www.dailystar.com.lb/Entity/Locations%20and%20natural%20formations/126332/4/Bekaa.ashx?utm_source=Magnet&utm_medium=Entities%20widget&utm_campaign=Magnet%20tools,Infrastructure
"ANSAR, Lebanon: The family of Sgt. Abbas Medlej, backed by Hezbollah, appealed for calm Sunday as they received condolences in his hometown of Ansar Sunday...",http://www.dailystar.com.lb/Rakan-al-Fakih.ashx,Home
Speaker Nabih Berri Friday said that the latest developments in northeast Lebanon’s Arsal were both a huge transformation and a continuation of Hezbollah’s...,http://www.dailystar.com.lb/Entity/Locations%20and%20natural%20formations/127460/8/Al%20Qaa.ashx?utm_source=Magnet&utm_medium=Entities%20widget&utm_campaign=Magnet%20tools,Development
"Hezbollah fighters made major gains over the weekend, recovering large swaths of land on the outskirts of Arsal, including a cave that once housed a senior...",http://www.dailystar.com.lb/Entity/Locations%20and%20natural%20formations/127179/9/Ras%20Baalbek.ashx?utm_source=Magnet&utm_medium=Entities%20widget&utm_campaign=Magnet%20tools,House
The bank accounts of a hospital and a social welfare group that were closed for suspected links with Hezbollah have been reopened after Central Bank Governor...,http://www.dailystar.com.lb/Entity/Agencies/822419255/3/Office%20of%20Foreign%20Assets%20Control.ashx?utm_source=Magnet&utm_medium=Entities%20widget&utm_campaign=Magnet%20tools,Hospital
