sentence,url,word
"Hezbollah has also created its own parallel institutions within Lebanon’s educational, social, and economic sectors. Hezbollah-run schools indoctrinate Shiite youth while its network of social services provide Shiite citizens with health care, utilities, groceries, and construction services. But because of international sanctions, Hezbollah-linked hospitals, charities, and other businesses risk inviting devastating economic sanctions. International aid organizations wary of inviting sanctions must also navigate around Hezbollah when partnering with local Lebanese organizations. International sanctions targeting Hezbollah have also complicated the Lebanese economy due to Hezbollah’s involvement in the Lebanese business sector.",https://www.counterextremism.com/hezbollah-in-lebanon,hospital
"Hezbollah has also created its own parallel institutions within Lebanon’s educational, social, and economic sectors. Hezbollah-run schools indoctrinate Shiite youth while its network of social services provide Shiite citizens with health care, utilities, groceries, and construction services. But because of international sanctions, Hezbollah-linked hospitals, charities, and other businesses risk inviting devastating economic sanctions. International aid organizations wary of inviting sanctions must also navigate around Hezbollah when partnering with local Lebanese organizations. International sanctions targeting Hezbollah have also complicated the Lebanese economy due to Hezbollah’s involvement in the Lebanese business sector.",https://www.counterextremism.com/hezbollah-in-lebanon,school
"Hezbollah operates its own network of charitable groups and non-governmental organizations, often as an alternative to state-provided services.",https://www.counterextremism.com/hezbollah-in-lebanon,charitable
"Hezbollah operates its own network of charitable groups and non-governmental organizations, often as an alternative to state-provided services.",https://www.counterextremism.com/hezbollah-in-lebanon,charitable
"Hezbollah has created a network of charities in Lebanon and abroad that act to fundraise and recruit for the organization under the guise of charitable work. A prime example of this is the Martyrs Foundation, a network of Iranian-sponsored charities created to support the families of deceased fighters from Iran’s terrorist proxies. Iran created the Lebanese branch of the charity in 2006 to compensate the families of Hezbollah fighters killed during that year’s war with Israel.",https://www.counterextremism.com/hezbollah-in-lebanon,charitable
"Hezbollah has created a network of charities in Lebanon and abroad that act to fundraise and recruit for the organization under the guise of charitable work. A prime example of this is the Martyrs Foundation, a network of Iranian-sponsored charities created to support the families of deceased fighters from Iran’s terrorist proxies. Iran created the Lebanese branch of the charity in 2006 to compensate the families of Hezbollah fighters killed during that year’s war with Israel.",https://www.counterextremism.com/hezbollah-in-lebanon,charitable
" In 2007, the U.S. Treasury designated the Martyrs Foundation in Lebanon, accusing it of raising funds for Hezbollah by establishing global charitable fronts such as the Michigan-based Goodwill Charitable Organization.",https://www.counterextremism.com/hezbollah-in-lebanon,charitable
" In 2007, the U.S. Treasury designated the Martyrs Foundation in Lebanon, accusing it of raising funds for Hezbollah by establishing global charitable fronts such as the Michigan-based Goodwill Charitable Organization.",https://www.counterextremism.com/hezbollah-in-lebanon,charitable
"Hospitals and other Hezbollah-linked non-profits directly risk U.S. sanctions, endangering the flow of vital services to the Lebanese people. Fearful Lebanese banks have also preemptively punished charities that have not been directly designated by the U.S. government. In June 2016, Lebanese banks reportedly closed the accounts of Al-Rasoul al-Aazam Hospital in the Burj al-Barajneh suburb south of Beirut, known as “the resistance hospital” because of its treatment of Hezbollah fighters returning from Syria.",https://www.counterextremism.com/hezbollah-in-lebanon,hospital
" The hospital works directly with the Lebanese Ministry of Health and the Social Security Fund, as well as private insurance companies and medical equipment companies. Citing the hospital’s ties to the government and private sector in a May 2016 interview with Al-Monitor, Fares Soueid of the March 14 alliance’s General Secretariat unit said that Hezbollah’s infiltration of Lebanon’s charitable networks puts all of Lebanese society at risk.",https://www.counterextremism.com/hezbollah-in-lebanon,hospital
" The hospital works directly with the Lebanese Ministry of Health and the Social Security Fund, as well as private insurance companies and medical equipment companies. Citing the hospital’s ties to the government and private sector in a May 2016 interview with Al-Monitor, Fares Soueid of the March 14 alliance’s General Secretariat unit said that Hezbollah’s infiltration of Lebanon’s charitable networks puts all of Lebanese society at risk.",https://www.counterextremism.com/hezbollah-in-lebanon,charitable
" The hospital works directly with the Lebanese Ministry of Health and the Social Security Fund, as well as private insurance companies and medical equipment companies. Citing the hospital’s ties to the government and private sector in a May 2016 interview with Al-Monitor, Fares Soueid of the March 14 alliance’s General Secretariat unit said that Hezbollah’s infiltration of Lebanon’s charitable networks puts all of Lebanese society at risk.",https://www.counterextremism.com/hezbollah-in-lebanon,charitable
"Hezbollah has employed a two-pronged strategy to control Lebanon’s educational sector. Its schools offer well-funded educational opportunities that, like Hezbollah’s provision of social services, offer services to the Lebanese Shiite population that state-affiliated schools cannot match. The second prong of Hezbollah’s strategy is to use its influence across Lebanon’s political, cultural, and media spheres to exert its influence over non-Hezbollah schools. The result is the infusion of a Hezbollah-approved narrative across Lebanon’s educational system.",https://www.counterextremism.com/hezbollah-in-lebanon,school
"Hezbollah has created its own schooling system as an alternative to state-provided public schooling, and its members are present throughout the university level. “It’s like a complete system, from primary school to university,” Lebanese University analyst Talal Atrissi told the ",https://www.counterextremism.com/hezbollah-in-lebanon,school
